anime_id,name
2,"Steins;Gate"
5,"Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare"
8,"Code Geass: Hangyaku no Lelouch R2"
9,"Code Geass: Hangyaku no Lelouch"
10,"Cowboy Bebop"
11,"One Punch Man"
12,"Suzumiya Haruhi no Shoushitsu"
13,"Tengen Toppa Gurren Lagann"
16,"Steins;Gate Movie: Fuka Ryouiki no Déjà vu"
19,"Kiseijuu: Sei no Kakuritsu"
22,"Evangelion: 2.0 You Can (Not) Advance"
25,"Psycho-Pass"
27,"Steins;Gate: Oukoubakko no Poriomania"
28,"Neon Genesis Evangelion: The End of Evangelion"
29,"Toki wo Kakeru Shoujo"
35,"Tenkuu no Shiro Laputa"
37,"Ghost in the Shell"
40,"Neon Genesis Evangelion"
41,"Trigun"
44,"Summer Wars"
51,"Darker than Black: Kuro no Keiyakusha"
54,"Sakasama no Patema"
66,"Interstella5555: The 5tory of The 5ecret 5tar 5ystem"
69,"Akira"
70,"Paprika"
74,"Wolf&#039;s Rain OVA"
81,"Darker than Black: Kuro no Keiyakusha Gaiden"
91,"Ergo Proxy"
99,"Serial Experiments Lain"
100,"Gundam Build Fighters"
118,"Mobile Suit Gundam Seed"
122,"Wolf&#039;s Rain"
128,"Kumo no Mukou, Yakusoku no Basho"
151,"Toaru Majutsu no Index II"
152,"Tsuritama"
182,"No.6"
203,"Toaru Majutsu no Index: Endymion no Kiseki"
211,"Toaru Majutsu no Index"
221,"Aldnoah.Zero"
292,"Bobobo-bo Bo-bobo"
311,"Neon Genesis Evangelion: Death &amp; Rebirth"
330,"Deadman Wonderland"
346,"Final Fantasy VII: Last Order"
478,"Saishuu Heiki Kanojo"
1038,"Dragon Ball GT"
2006,"Steins;Gate 0"
