anime_id,name,genre,type,episodes,rating,members
28977,"Gintama°","Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,51,9.25,114262
9253,"Steins;Gate","Sci-Fi, Thriller",TV,24,9.17,673572
9969,"Gintama&#039;","Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,51,9.16,151266
820,"Ginga Eiyuu Densetsu","Drama, Military, Sci-Fi, Space",OVA,110,9.11,80679
15335,"Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare","Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,1,9.1,72534
15417,"Gintama&#039;: Enchousen","Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,13,9.11,81109
918,"Gintama","Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,201,9.04,336376
2904,"Code Geass: Hangyaku no Lelouch R2","Action, Drama, Mecha, Military, Sci-Fi, Super Power",TV,25,8.98,572888
1575,"Code Geass: Hangyaku no Lelouch","Action, Mecha, Military, School, Sci-Fi, Super Power",TV,25,8.83,715151
1,"Cowboy Bebop","Action, Adventure, Comedy, Drama, Sci-Fi, Space",TV,26,8.82,486824
30276,"One Punch Man","Action, Comedy, Parody, Sci-Fi, Seinen, Super Power, Supernatural",TV,12,8.82,552458
7311,"Suzumiya Haruhi no Shoushitsu","Comedy, Mystery, Romance, School, Sci-Fi, Supernatural",Movie,1,8.81,240297
2001,"Tengen Toppa Gurren Lagann","Action, Adventure, Comedy, Mecha, Sci-Fi",TV,27,8.78,562962
19,"Monster","Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",TV,74,8.72,247562
1535,"Death Note","Mystery, Police, Psychological, Supernatural, Thriller",TV,37,8.71,1013917
22135,"Ping Pong The Animation","Psychological, Seinen, Sports",TV,11,8.67,97187
31043,"Boku dake ga Inai Machi","Mystery, Psychological, Seinen, Supernatural",TV,12,8.65,402381
7785,"Yojouhan Shinwa Taikei","Mystery, Psychological, Romance",TV,11,8.65,122531
3297,"Aria The Origination","Fantasy, Sci-Fi, Shounen, Slice of Life",TV,13,8.64,56162
31240,"Re:Zero kara Hajimeru Isekai Seikatsu","Drama, Fantasy, Psychological, Thriller",TV,25,8.64,355839
4565,"Tengen Toppa Gurren Lagann Movie: Lagann-hen","Action, Mecha, Sci-Fi, Space, Super Power",Movie,1,8.64,82253
11577,"Steins;Gate Movie: Fuka Ryouiki no Déjà vu","Sci-Fi, Thriller",Movie,1,8.61,192424
